BBC Natural History Collection (Alternate UPC): Planet Earth / Blue Planet: Seas Of Life / Life Of Mammals / Life Of Birds	Boy's Life: Backstage at 'Peter and the Starcatcher' with Adam Chanler-Berat	0.243902	0.576663	0.618997	0.34	0.213496	1	0	-2.763617
BBC Natural History Collection 1: Planet Earth (Blu-ray)	Battle History of the U. S. Coast Guard	0.385965	0.63655	0.672895	0.494845	0.213498	1	0	-2.306120
BBC Natural History Collection 1: Planet Earth (Speical Edition)	Bailando por un sueño: 1er campeonato internacional de baile	0.215385	0.654449	0.689004	0.396825	0.213496	1	0	-2.509664
BBC Natural History Collection 2: Featuring Life	Boost Mobile Major League Gaming Pro Circuit	0.183673	0.674321	0.706889	0.382979	0.213496	1	0	-2.485865
BBC Natural History Collection: Planet Earth / Blue Planet: Seas Of Life / Life Of Mammals / Life Of Birds	Boy's Life: Backstage at 'Peter and the Starcatcher' with Adam Chanler-Berat	0.252336	0.577916	0.620125	0.358696	0.213496	1	0	-2.736405
BBC Royalty (2-Disc)	Bay City Blues	0.333333	0.679365	0.711429	0.388889	0.153797	1	0	-2.378410
BBC Shakespeare Plays DVD Series	Barney Blake, Police Reporter	0.242424	0.675613	0.708052	0.412698	0.641437	1	0	-2.415825
BBC Singer Of The World In Cardiff: Twenty Years	Blood & Iron: The Story of the German War Machine	0.204082	0.665454	0.698908	0.40404	0.213496	1	0	-2.475297
BBC Tudors Collection: Shadow Of The Tower / The Six Wives Of Henry VIII / The Other Boleyn Girl / Elizabeth R	Bishojo Celebrity Panchanne: The Wife is a Superheroine!	0.27027	0.570514	0.613462	0.369048	0.213496	1	0	-2.734171
BBC Ultimate Comedy Megapack: Absolutely Fabulous / Black Adder / Father Ted / Fawlty Towers / Red Dwarf / The Young Ones / ...	BC Times	0.0625	0.571181	0.614062	0.116788	0.213496	1	0	-2.965352
BBMak: Music In High Places	BPM: Music	0.357143	0.713203	0.741883	0.512821	0.491078	1	1	-2.067844
BBMak: Sooner And Later: Our First Year In America	Border Security: Canada's Front Line	0.27451	0.67973	0.711757	0.409091	0.213503	1	0	-2.389835
BBQ Pitmasters	BBQ Pitmasters	1	1	1	1	-0.720647	0	1	1.000060
BBQ Secrets: The Master Guide To Extraordinary Barbecue Cookin'	Blush: The Search for America's Greatest Makeup Artist	0.25	0.662859	0.696573	0.403361	0.213496	1	0	-2.460238
BBQ Series: BBQ Basics Ribs, Wings & Legs	Belize Sports: Rock, Paper, Scissors Championships	0.119048	0.631419	0.668277	0.387097	0.213496	1	0	-2.615544
BBQ Series: Choice Chops Veal Pork & Lamb Chops	Bret Michaels and the Zombie Apocalypse of Love	0.166667	0.660354	0.694318	0.4375	0.213496	1	0	-2.462042
BBQ Series: Grill Gourmet Meats, Marinades & Veggies	Bassie en Adriaan en de reis vol verrassingen	0.264151	0.677099	0.70939	0.40404	0.213496	1	0	-2.410596
BBQ Series: Hickory Kabob Vegetable & Meat Kabobs	Bes v rebro, ili Velikolepnaya chetvyorka	0.22	0.621429	0.659286	0.369565	0.213496	1	0	-2.628881
BBoy Footwork #1: Beginner	Bollywood on Line	0.37037	0.670465	0.703419	0.488889	-0.744742	0	0	-2.228044
BBoy Footwork #2: Intermediate	Betty Crocker Star Matinee	0.290323	0.675711	0.70814	0.413793	0.778474	1	0	-2.384957
BBoy Foundation	BET.com Countdown	0.375	0.735901	0.762311	0.588235	-0.894601	0	0	-1.845812
BBoy Freezes #1: Intermediate	Big Brother: The Insider	0.3	0.692515	0.723263	0.4	0.506385	1	0	-2.347968
BBoy Olympics	Boy Dominic	0.5	0.746032	0.771429	0.615385	-1.197997	0	0	-1.618476
BBoy Unit World Championship	Big Wolf on Campus	0.37931	0.735443	0.761899	0.541667	0.50947	1	0	-1.925689
BBoy Universe: Phenomenal Evolution (Deluxe Edition/ 2-Disc)	Bad Universe	0.180328	0.644388	0.67995	0.297297	0.213496	1	0	-2.662856
BBoys: Beyond Battles	Bobby's Dinner Battle	0.454545	0.754545	0.779091	0.636364	-0.864458	0	0	-1.603733
BCS National Championship 2008	BBC Africa Cup of Nations 2008	0.354839	0.723118	0.750806	0.580645	0.974214	1	0	-1.921534
BEET The Vandel Buster #1: The Sacrifice	Boneyard: The Secret Life of Machines	0.243902	0.690394	0.721354	0.455696	0.213584	1	0	-2.312170
BEET The Vandel Buster #2: Jiiku Warriors	Based on a Couple of True Stories	0.285714	0.656844	0.69116	0.394737	0.273562	1	0	-2.467614
BEET The Vandel Buster #3: King Of Tragedy	BET: The Next	0.232558	0.648948	0.719158	0.385965	0.227938	1	0	-2.486278
BET Four Play (4-Disc): Rhapsody / A Private Affair / Playing With Fire / Intimate Betrayal	Boy's Life: Backstage at 'Peter and the Starcatcher' with Adam Chanler-Berat	0.228261	0.597567	0.63781	0.402367	0.213496	1	0	-2.647029
BET Hip-Hop Awards 2007	Bad Trips Abroad	0.291667	0.679047	0.711143	0.439024	-0.773692	0	0	-2.338841
BET Pictures Presents: A Private Affair	Best Time Ever with Neil Patrick Harris	0.225	0.672989	0.70569	0.4	0.213499	1	0	-2.449270
BET Pictures Presents: After All	Business Matters: A Prophet Unheard	0.121212	0.684007	0.715606	0.405797	0.407167	1	0	-2.452970
BET Pictures Presents: Midnight Blue	Bravo Profiles: The Entertainment Business	0.243243	0.687217	0.718495	0.45	0.213496	1	0	-2.330109
BET Triple Play: Fire And Ice / One Special Moment / Commitments (2001)	Brothers Grimm Fairy Tales: Poseidon God of Water - 20, Story Time	0.180556	0.612003	0.650803	0.345324	0.213496	1	0	-2.694493
BET: Comic View: All Stars #01	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #02	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #03	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #04	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #05	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #06	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #07	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #08	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #09	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
BET: Comic View: All Stars #10	BET's Comicview	0.387097	0.712366	0.798656	0.553191	0.852047	1	1	-1.886953
